run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
General-0-20220829-17:02:36-12114,runattr,,,configname,General,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,datetime,20220829-17:02:36,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,experiment,General,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,inifile,omnetpp.ini,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,iterationvars,,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,iterationvarsf,,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,measurement,,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,network,CanvasWorld,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,processid,12114,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,repetition,0,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,replication,#0,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,resultdir,results,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,runnumber,0,,,,,,,,,
General-0-20220829-17:02:36-12114,runattr,,,seedset,0,,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.traci.core.version,-1,,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.traci.launcher.typename,"""PosixLauncher""",,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.traci.launcher.sumocfg,"""politecnico.sumo.cfg""",,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.traci.launcher.sumo,"""sumo-gui""",,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.node[*].wlan[*].typename,"""VanetNic""",,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.node[*].wlan[*].radio.channelNumber,180,,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.node[*].wlan[*].radio.carrierFrequency,5.9 GHz,,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.node[*].wlan[*].radio.transmitter.power,200 mW,,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.node[*].middleware.updateInterval,0.1s,,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.node[*].middleware.datetime,"""2022-08-16 15:00:00""",,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.node[*].middleware.services,"xmldoc(""services.xml"")",,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.node[*].middleware.DEN.useCases,"xmldoc(""den-use-cases.xml"")",,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,**.speedThreshold,2.0 mps,,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.withStoryboard,true,,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.storyboard.python,"""story""",,,,,,,,,
General-0-20220829-17:02:36-12114,param,,,*.storyboard.canvas,"""CanvasWorld""",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.traci.launcher,port,,,45143,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac.rx,ChannelLoad:timeavg,,,0.0021951197263398,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromLL:count,,,512,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromLL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromLL:count,source,packetReceivedFromLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromLL:count,title,"packets received from lower layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),,,126576,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),source,packetReceivedFromLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),title,"packets received from lower layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac,sentDownPk:count,,,159,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,sentDownPk:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,sentDownPk:count,source,packetSentToLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,sentDownPk:count,title,"packets sent to lower layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac,sentDownPk:sum(packetBytes),,,39557,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,sentDownPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,sentDownPk:sum(packetBytes),source,packetSentToLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,sentDownPk:sum(packetBytes),title,"packets sent to lower layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromHL:count,,,159,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromHL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromHL:count,source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromHL:count,title,"packets received from higher layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),,,39557,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),title,"packets received from higher layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac,passedUpPk:count,,,512,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,passedUpPk:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,passedUpPk:count,source,packetSentToUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,passedUpPk:count,title,"packets passed to higher layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].mac,passedUpPk:sum(packetBytes),,,126576,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,passedUpPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,passedUpPk:sum(packetBytes),source,packetSentToUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].mac,passedUpPk:sum(packetBytes),title,"packets passed to higher layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].radio,transmissionState:count,,,636,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,transmissionState:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,transmissionState:count,source,transmissionStateChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,transmissionState:count,title,"Radio transmission state, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].radio,receptionState:count,,,1343,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,receptionState:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,receptionState:count,source,receptionStateChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,receptionState:count,title,"Radio reception state, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].wlan[0].radio,radioMode:count,,,320,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,radioMode:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,radioMode:count,source,radioModeChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].wlan[0].radio,radioMode:count,title,"Radio mode, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].middleware.DEN,transmission:count,,,0,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].middleware.DEN,transmission:count,source,DenmSent,,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[0].middleware.DEN,reception:count,,,0,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[0].middleware.DEN,reception:count,source,DenmReceived,,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac.rx,ChannelLoad:timeavg,,,0.0021605345211581,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromLL:count,,,513,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromLL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromLL:count,source,packetReceivedFromLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromLL:count,title,"packets received from lower layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),,,127299,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),source,packetReceivedFromLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),title,"packets received from lower layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,sentDownPk:count,,,164,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,sentDownPk:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,sentDownPk:count,source,packetSentToLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,sentDownPk:count,title,"packets sent to lower layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,sentDownPk:sum(packetBytes),,,41172,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,sentDownPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,sentDownPk:sum(packetBytes),source,packetSentToLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,sentDownPk:sum(packetBytes),title,"packets sent to lower layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:count,,,164,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:count,source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:count,title,"packets received from higher layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),,,41172,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),title,"packets received from higher layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,passedUpPk:count,,,513,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:count,source,packetSentToUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:count,title,"packets passed to higher layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,passedUpPk:sum(packetBytes),,,127299,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:sum(packetBytes),source,packetSentToUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:sum(packetBytes),title,"packets passed to higher layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].radio,transmissionState:count,,,656,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,transmissionState:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,transmissionState:count,source,transmissionStateChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,transmissionState:count,title,"Radio transmission state, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].radio,receptionState:count,,,1355,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,receptionState:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,receptionState:count,source,receptionStateChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,receptionState:count,title,"Radio reception state, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].radio,radioMode:count,,,330,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,radioMode:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,radioMode:count,source,radioModeChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,radioMode:count,title,"Radio mode, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].middleware.DEN,transmission:count,,,0,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].middleware.DEN,transmission:count,source,DenmSent,,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].middleware.DEN,reception:count,,,0,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].middleware.DEN,reception:count,source,DenmReceived,,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac.rx,ChannelLoad:timeavg,,,0.0020714035087719,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:count,,,495,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:count,source,packetReceivedFromLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:count,title,"packets received from lower layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),,,124085,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),source,packetReceivedFromLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),title,"packets received from lower layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,sentDownPk:count,,,180,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,sentDownPk:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,sentDownPk:count,source,packetSentToLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,sentDownPk:count,title,"packets sent to lower layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,sentDownPk:sum(packetBytes),,,44340,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,sentDownPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,sentDownPk:sum(packetBytes),source,packetSentToLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,sentDownPk:sum(packetBytes),title,"packets sent to lower layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromHL:count,,,180,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromHL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromHL:count,source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromHL:count,title,"packets received from higher layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),,,44340,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),title,"packets received from higher layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,passedUpPk:count,,,495,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,passedUpPk:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,passedUpPk:count,source,packetSentToUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,passedUpPk:count,title,"packets passed to higher layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,passedUpPk:sum(packetBytes),,,124085,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,passedUpPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,passedUpPk:sum(packetBytes),source,packetSentToUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,passedUpPk:sum(packetBytes),title,"packets passed to higher layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].radio,transmissionState:count,,,720,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,transmissionState:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,transmissionState:count,source,transmissionStateChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,transmissionState:count,title,"Radio transmission state, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].radio,receptionState:count,,,1351,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,receptionState:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,receptionState:count,source,receptionStateChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,receptionState:count,title,"Radio reception state, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].radio,radioMode:count,,,362,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,radioMode:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,radioMode:count,source,radioModeChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].radio,radioMode:count,title,"Radio mode, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].middleware.DEN,transmission:count,,,0,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].middleware.DEN,transmission:count,source,DenmSent,,,,,,,,,
